Reactor Name,Reactor Status,Country,Reactor Type,Model,Owner,Operator,Reference Unit Power (Net Capacity) [MWe],Design Net Capacity [MWe],Gross Capacity [MWe],Thermal Capacity [MWt],Construction Start Date,First Criticality Date,Construction Suspended Date,Construction Restart Date,First Grid Connection,Commercial Operation Date,Suspended Operation Date,End of Suspended Operation Date,Permanent Shutdown Date,Thermal Efficiency [%],Energy Efficiency [%],Years Connected,Total Power Supplied [TW.h],Hours On Line
SANAO-1,Under Construction,China,PWR,HRP1000,"CGN Cangnan Nuclear Co.,Ltd","CGN Cangnan Nuclear Co.,Ltd",1117,1117,1210,3180,2020-12-31,N/A,,,N/A,N/A,,,,35.13,35.13,0,0.0,0.0
SANAO-2,Under Construction,China,PWR,HRP1000,"CGN Cangnan Nuclear Co.,Ltd","CGN Cangnan Nuclear Co.,Ltd",1117,1117,1210,3180,2021-12-30,N/A,,,N/A,N/A,,,,35.13,35.13,0,0.0,0.0
SANMEN-1,Operational,China,PWR,AP-1000,"SANMEN NUCLEAR POWER CO., LTD.","SANMEN NUCLEAR POWER CO., LTD.",1157,1157,1251,3400,2009-04-19,2018-06-21,,,2018-06-30,2018-09-21,,,,34.03,34.03,6,49.15,44337.0
SANMEN-2,Operational,China,PWR,AP-1000,"SANMEN NUCLEAR POWER CO., LTD.","SANMEN NUCLEAR POWER CO., LTD.",1157,1157,1251,3400,2009-12-15,2018-08-17,,,2018-08-24,2018-11-05,,,,34.03,34.03,6,39.58,35351.0
SANMEN-3,Under Construction,China,PWR,CAP1000,CHINA NATIONAL NUCLEAR CORPORATION,"SANMEN NUCLEAR POWER CO., LTD.",1163,1163,1251,3400,2022-06-28,N/A,,,N/A,N/A,,,,34.21,34.21,0,0.0,0.0
SANMEN-4,Under Construction,China,PWR,CAP1000,CHINA NATIONAL NUCLEAR CORPORATION,"SANMEN NUCLEAR POWER CO., LTD.",1163,1163,1251,3400,2023-03-22,N/A,,,N/A,N/A,,,,34.21,34.21,0,0.0,0.0
SHIDAO BAY-1,Operational,China,HTGR,HTR-PM,China Huaneng Group,"Huaneng Shandong Shidao Bay Nuclear Power Company, Ltd.",150,200,211,500,2012-12-09,2021-09-12,,,2021-12-14,2023-12-06,,,,30.0,40.0,3,0.2,1176.0
SHIDAOWAN-1,Under Construction,China,PWR,HPR1000,"Huaneng Shandong Shidao Bay Nuclear Power Company, Ltd.","Huaneng Shandong Shidao Bay Nuclear Power Company, Ltd.",1134,1134,1225,3180,2024-07-28,N/A,,,N/A,N/A,,,,35.66,35.66,0,0.0,0.0
TAIPINGLING-1,Under Construction,China,PWR,HPR1000,"CGN Huizhou Nuclear Power Co.,Ltd,","CGN Huizhou Nuclear Power Co.,Ltd,",1116,1116,1202,3190,2019-12-26,N/A,,,N/A,N/A,,,,34.98,34.98,0,0.0,0.0
TAIPINGLING-2,Under Construction,China,PWR,HPR1000,"CGN Huizhou Nuclear Power Co.,Ltd,","CGN Huizhou Nuclear Power Co.,Ltd,",1116,1116,1202,3190,2020-10-15,N/A,,,N/A,N/A,,,,34.98,34.98,0,0.0,0.0
TAISHAN-1,Operational,China,PWR,EPR-1750,Taishan Nuclear Power Joint Venture Company Limited,Taishan Nuclear Power Joint Venture Company Limited,1660,1660,1750,4590,2009-11-18,2018-06-06,,,2018-06-29,2018-12-13,,,,36.17,36.17,6,37.98,27971.0
TAISHAN-2,Operational,China,PWR,EPR-1750,Taishan Nuclear Power Joint Venture Company Limited,Taishan Nuclear Power Joint Venture Company Limited,1660,1660,1750,4590,2010-04-15,2019-05-28,,,2019-06-23,2019-09-07,,,,36.17,36.17,5,49.86,33987.0
TIANWAN-1,Operational,China,PWR,VVER V-428,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1000,990,1060,3000,1999-10-20,2005-12-20,,,2006-05-12,2007-05-17,,,,33.33,33.0,18,126.31,131710.0
TIANWAN-2,Operational,China,PWR,VVER V-428,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1000,990,1060,3000,2000-09-20,2007-05-01,,,2007-05-14,2007-08-16,,,,33.33,33.0,17,125.78,130467.0
TIANWAN-3,Operational,China,PWR,VVER V-428M,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1060,1060,1126,3000,2012-12-27,2017-09-29,,,2017-12-30,2018-02-14,,,,35.33,35.33,7,44.66,45821.0
TIANWAN-4,Operational,China,PWR,VVER V-428M,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1060,1060,1126,3000,2013-09-27,2018-09-30,,,2018-10-27,2018-12-22,,,,35.33,35.33,6,39.8,40098.0
TIANWAN-5,Operational,China,PWR,CNP-1000,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1060,1000,1118,2905,2015-12-27,2020-07-27,,,2020-08-08,2020-09-08,,,,36.49,34.42,4,27.41,27407.0
TIANWAN-6,Operational,China,PWR,CNP-1000,Jiangsu Nuclear Power Corporation,Jiangsu Nuclear Power Corporation,1060,1000,1118,2905,2016-09-07,2021-05-04,,,2021-05-11,2021-06-02,,,,36.49,34.42,3,21.67,21533.0
TIANWAN-7,Under Construction,China,PWR,VVER-1200/V491,CHINA NATIONAL NUCLEAR CORPORATION,Jiangsu Nuclear Power Corporation,1171,1171,1265,3200,2021-05-19,N/A,,,N/A,N/A,,,,36.59,36.59,0,0.0,0.0
TIANWAN-8,Under Construction,China,PWR,VVER-1200/V491,CHINA NATIONAL NUCLEAR CORPORATION,Jiangsu Nuclear Power Corporation,1171,1171,1265,3200,2022-02-25,N/A,,,N/A,N/A,,,,36.59,36.59,0,0.0,0.0
XIAPU-1,Under Construction,China,FBR,CFR600,"CNNC Longyuan Technology Co. , Ltd",CHINA NATIONAL NUCLEAR CORPORATION,642,642,682,1882,2017-12-29,N/A,,,N/A,N/A,,,,34.11,34.11,0,0.0,0.0
XIAPU-2,Under Construction,China,FBR,CFR600,"CNNC Longyuan Technology Co. , Ltd",CHINA NATIONAL NUCLEAR CORPORATION,642,642,682,1882,2020-12-27,N/A,,,N/A,N/A,,,,34.11,34.11,0,0.0,0.0
XUDAPU-1,Under Construction,China,PWR,CAP1000,CHINA NATIONAL NUCLEAR CORPORATION,"LIAONING NUCLEAR POWER COMPANY, LMT.",1000,1000,1290,2905,2023-11-03,N/A,,,N/A,N/A,,,,34.42,34.42,0,0.0,0.0
XUDAPU-2,Under Construction,China,PWR,CAP1000,CHINA NATIONAL NUCLEAR CORPORATION,"LIAONING NUCLEAR POWER COMPANY, LMT.",1000,1000,1290,2905,2024-07-17,N/A,,,N/A,N/A,,,,34.42,34.42,0,0.0,0.0
XUDAPU-3,Under Construction,China,PWR,VVER-1200/V491,CHINA NATIONAL NUCLEAR CORPORATION,"LIAONING NUCLEAR POWER COMPANY, LMT.",1200,1200,1274,3200,2021-07-28,N/A,,,N/A,N/A,,,,37.5,37.5,0,0.0,0.0
XUDAPU-4,Under Construction,China,PWR,VVER-1200/V491,CHINA NATIONAL NUCLEAR CORPORATION,"LIAONING NUCLEAR POWER COMPANY, LMT.",1200,1200,1274,3200,2022-05-19,N/A,,,N/A,N/A,,,,37.5,37.5,0,0.0,0.0
YANGJIANG-1,Operational,China,PWR,CPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1021,1086,2905,2008-12-16,2013-12-23,,,2013-12-31,2014-03-25,,,,34.42,35.15,11,78.6,78637.0
YANGJIANG-2,Operational,China,PWR,CPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1000,1086,2905,2009-06-04,2015-03-02,,,2015-03-10,2015-06-05,,,,34.42,34.42,9,68.07,68986.0
YANGJIANG-3,Operational,China,PWR,CPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1000,1086,2905,2010-11-15,2015-10-11,,,2015-10-18,2016-01-01,,,,34.42,34.42,9,63.48,64536.0
YANGJIANG-4,Operational,China,PWR,CPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1000,1086,2905,2012-11-17,2016-12-30,,,2017-01-08,2017-03-15,,,,34.42,34.42,7,53.0,52995.0
YANGJIANG-5,Operational,China,PWR,ACPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1021,1086,2905,2013-09-18,2018-05-16,,,2018-05-23,2018-07-12,,,,34.42,35.15,6,42.8,44059.0
YANGJIANG-6,Operational,China,PWR,ACPR-1000,Yangjiang Nuclear Power Company,Yangjiang Nuclear Power Company,1000,1000,1086,2905,2013-12-23,2019-06-22,,,2019-06-29,2019-07-24,,,,34.42,34.42,5,34.72,35236.0
ZHANGZHOU-1,Operational,China,PWR,HPR1000,"CNNP Guodian Zhangzhou Energy Co.,Ltd","CNNP Guodian Zhangzhou Energy Co.,Ltd",1126,1126,1212,3190,2019-10-16,2024-11-07,,,2024-11-28,2025-01-01,,,,35.3,35.3,0,,
ZHANGZHOU-2,Under Construction,China,PWR,HPR1000,"CNNP Guodian Zhangzhou Energy Co.,Ltd","CNNP Guodian Zhangzhou Energy Co.,Ltd",1126,1126,1212,3190,2020-09-04,N/A,,,N/A,N/A,,,,35.3,35.3,0,0.0,0.0
ZHANGZHOU-3,Under Construction,China,PWR,HPR1000,"CNNP Guodian Zhangzhou Energy Co.,Ltd","CNNP Guodian Zhangzhou Energy Co.,Ltd",1129,1129,1214,3180,2024-02-22,N/A,,,N/A,N/A,,,,35.5,35.5,0,0.0,0.0
ZHANGZHOU-4,Under Construction,China,PWR,HPR1000,"CNNP Guodian Zhangzhou Energy Co.,Ltd","CNNP Guodian Zhangzhou Energy Co.,Ltd",1129,1129,1214,3180,2024-09-27,N/A,,,N/A,N/A,,,,35.5,35.5,0,0.0,0.0
DUKOVANY-1,Operational,Czech Republic,PWR,VVER V-213,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",468,420,500,1444,1979-01-01,1985-02-12,,,1985-02-24,1985-05-03,,,,32.41,29.09,39,123.06,289663.0
DUKOVANY-2,Operational,Czech Republic,PWR,VVER V-213,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",471,420,500,1444,1979-01-01,1986-01-23,,,1986-01-30,1986-03-21,,,,32.62,29.09,38,118.38,279483.0
DUKOVANY-3,Operational,Czech Republic,PWR,VVER V-213,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",475,420,500,1444,1979-03-01,1986-10-28,,,1986-11-14,1986-12-20,,,,32.89,29.09,38,117.96,275935.0
DUKOVANY-4,Operational,Czech Republic,PWR,VVER V-213,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",471,420,500,1444,1979-03-01,1987-06-01,,,1987-06-11,1987-07-19,,,,32.62,29.09,37,118.26,275257.0
TEMELIN-1,Operational,Czech Republic,PWR,VVER V-320,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",1027,1027,1082,3120,1987-02-01,2000-10-11,,,2000-12-21,2002-06-10,,,,32.92,32.92,24,145.82,150079.0
TEMELIN-2,Operational,Czech Republic,PWR,VVER V-320,"CZECH POWER Co., CEZ a.s.","CZECH POWER Co., CEZ a.s.",1029,1029,1082,3120,1987-02-01,2002-05-31,,,2002-12-29,2003-04-18,,,,32.98,32.98,22,142.15,145294.0
EL DABAA-1,Under Construction,Egypt,PWR,VVER-1200,Nuclear Power Plants Authority,Nuclear Power Plants Authority,1100,1100,1200,3200,2022-07-20,N/A,,,N/A,N/A,,,,34.38,34.38,0,0.0,0.0
EL DABAA-2,Under Construction,Egypt,PWR,VVER-1200,Nuclear Power Plants Authority,Nuclear Power Plants Authority,1100,1100,1200,3200,2022-11-19,N/A,,,N/A,N/A,,,,34.38,34.38,0,0.0,0.0
EL DABAA-3,Under Construction,Egypt,PWR,VVER-1200,Nuclear Power Plants Authority,Nuclear Power Plants Authority,1100,1100,1200,3200,2023-05-03,N/A,,,N/A,N/A,,,,34.38,34.38,0,0.0,0.0
EL DABAA-4,Under Construction,Egypt,PWR,VVER-1200,Nuclear Power Plants Authority,Nuclear Power Plants Authority,1100,1100,1200,3200,2024-01-23,N/A,,,N/A,N/A,,,,34.38,34.38,0,0.0,0.0
LOVIISA-1,Operational,Finland,PWR,VVER V-213,FORTUM POWER AND HEAT OY (former IVO),FORTUM POWER AND HEAT OY (former IVO),507,420,531,1500,1971-05-01,1977-01-21,,,1977-02-08,1977-05-09,,,,33.8,28.0,47,169.66,369450.0
LOVIISA-2,Operational,Finland,PWR,VVER V-213,FORTUM POWER AND HEAT OY (former IVO),FORTUM POWER AND HEAT OY (former IVO),507,420,531,1500,1972-08-01,1980-10-17,,,1980-11-04,1981-01-05,,,,33.8,28.0,44,160.28,345406.0
OLKILUOTO-1,Operational,Finland,BWR,"AA-III, BWR-2500",TEOLLISUUDEN VOIMA OYJ,TEOLLISUUDEN VOIMA OYJ,890,660,920,2500,1974-02-01,1978-07-21,,,1978-09-02,1979-10-10,,,,35.6,26.4,46,288.86,367734.0
OLKILUOTO-2,Operational,Finland,BWR,"AA-III, BWR-2500",TEOLLISUUDEN VOIMA OYJ,TEOLLISUUDEN VOIMA OYJ,890,660,920,2500,1975-11-01,1979-10-13,,,1980-02-18,1982-07-10,,,,35.6,26.4,44,278.91,352942.0
OLKILUOTO-3,Operational,Finland,PWR,EPR,TEOLLISUUDEN VOIMA OYJ,TEOLLISUUDEN VOIMA OYJ,1575,1600,1660,4300,2005-08-12,2021-12-21,,,2022-03-12,2023-05-01,,,,36.63,37.21,2,12.26,9301.0
BELLEVILLE-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1980-05-01,1987-09-09,,,1987-10-14,1988-06-01,,,,34.32,34.32,37,290.98,244160.0
BELLEVILLE-2,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1980-08-01,1988-05-25,,,1988-07-06,1989-01-01,,,,34.32,34.32,36,290.06,243965.0
BLAYAIS-1,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1977-01-01,1981-05-20,,,1981-06-12,1981-12-01,,,,32.68,32.68,43,243.04,286067.0
BLAYAIS-2,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1977-01-01,1982-06-28,,,1982-07-17,1983-02-01,,,,32.68,32.68,42,251.52,290027.0
BLAYAIS-3,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1978-04-01,1983-07-29,,,1983-08-17,1983-11-14,,,,32.68,32.68,41,245.96,280856.0
BLAYAIS-4,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1978-04-01,1983-05-01,,,1983-05-16,1983-10-01,,,,32.68,32.68,41,240.8,285227.0
BUGEY-1,Permanent Shutdown,France,GCR,UNGG,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,540,540,555,1954,1965-12-01,1972-03-21,,,1972-04-15,1972-07-01,,,1994-05-27,27.64,27.64,23,55.33,135708.0
BUGEY-2,Operational,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,920,945,2785,1972-11-01,1978-04-20,,,1978-05-10,1979-03-01,,,,32.68,33.03,46,245.15,291578.0
BUGEY-3,Operational,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,920,945,2785,1973-09-01,1978-08-31,,,1978-09-21,1979-03-01,,,,32.68,33.03,46,240.6,285879.0
BUGEY-4,Operational,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,880,900,917,2785,1974-06-01,1979-02-17,,,1979-03-08,1979-07-01,,,,31.6,32.32,45,241.46,295777.0
BUGEY-5,Operational,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,880,900,917,2785,1974-07-01,1979-07-15,,,1979-07-31,1980-01-03,,,,31.6,32.32,45,232.9,287665.0
CATTENOM-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1300,1300,1362,3817,1979-10-29,1986-10-24,,,1986-11-13,1987-04-01,,,,34.06,34.06,38,287.7,243569.0
CATTENOM-2,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1300,1300,1362,3817,1980-07-28,1987-08-07,,,1987-09-17,1988-02-01,,,,34.06,34.06,37,295.88,249262.0
CATTENOM-3,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1300,1300,1362,3817,1982-06-15,1990-02-16,,,1990-07-06,1991-02-01,,,,34.06,34.06,34,269.87,225652.0
CATTENOM-4,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1300,1300,1362,3817,1983-09-28,1991-05-04,,,1991-05-27,1992-01-01,,,,34.06,34.06,33,277.33,233363.0
CHINON A-1,Permanent Shutdown,France,GCR,UNGG,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,70,68,80,300,1957-02-01,1962-09-16,,,1963-06-14,1964-02-01,,,1973-04-16,23.33,22.67,11,0.57,6978.0
CHINON A-2,Permanent Shutdown,France,GCR,UNGG,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,180,170,230,800,1959-08-01,1964-08-17,,,1965-02-24,1965-02-24,,,1985-06-14,22.5,21.25,21,19.58,101680.0
CHINON A-3,Permanent Shutdown,France,GCR,UNGG,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,360,480,480,1170,1961-03-01,1966-03-01,,,1966-08-04,1966-08-04,,,1990-06-15,30.77,41.03,25,28.45,88157.0
CHINON B-1,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,905,870,954,2785,1977-03-01,1982-10-28,,,1982-11-30,1984-02-01,,,,32.5,31.24,42,229.46,275914.0
CHINON B-2,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,905,870,954,2785,1977-03-01,1983-09-23,,,1983-11-29,1984-08-01,,,,32.5,31.24,41,227.32,273037.0
CHINON B-3,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,905,905,954,2785,1980-10-01,1986-09-18,,,1986-10-20,1987-03-04,,,,32.5,32.5,38,211.07,252651.0
CHINON B-4,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,905,905,954,2785,1981-02-01,1987-10-13,,,1987-11-14,1988-04-01,,,,32.5,32.5,37,212.78,253913.0
CHOOZ B-1,Operational,France,PWR,N4 REP 1450,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1500,1455,1560,4270,1984-01-01,1996-07-25,,,1996-08-30,2000-05-15,,,,35.13,34.07,28,234.21,165707.0
CHOOZ B-2,Operational,France,PWR,N4 REP 1450,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1500,1455,1560,4270,1985-12-31,1997-03-10,,,1997-04-10,2000-09-29,,,,35.13,34.07,27,226.76,161879.0
CHOOZ-A (ARDENNES),Permanent Shutdown,France,PWR,CHOOZ-A,ÉLECTRICITÉ DE FRANCE,SOCIETE D'ENERGIE NUCLEAIRE FRANCO-BELGE DES ARDENNES,305,280,320,1040,1962-01-01,1966-10-18,,,1967-04-03,1967-04-15,,,1991-10-30,29.33,26.92,25,37.97,135847.0
CIVAUX-1,Operational,France,PWR,N4 REP 1450,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1495,1450,1561,4270,1988-10-15,1997-11-29,,,1997-12-24,2002-01-29,,,,35.01,33.96,27,216.64,155122.0
CIVAUX-2,Operational,France,PWR,N4 REP 1450,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1495,1450,1561,4270,1991-04-01,1999-11-27,,,1999-12-24,2002-04-23,,,,35.01,33.96,25,213.0,153732.0
CRUAS-1,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,880,956,2785,1978-08-01,1983-04-02,,,1983-04-29,1984-04-02,,,,32.85,31.6,41,224.08,270594.0
CRUAS-2,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,915,956,2785,1978-11-15,1984-08-01,,,1984-09-06,1985-04-01,,,,32.85,32.85,40,226.24,272320.0
CRUAS-3,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,880,956,2785,1979-04-15,1984-04-09,,,1984-05-14,1984-09-10,,,,32.85,31.6,40,224.91,270740.0
CRUAS-4,Operational,France,PWR,CP2,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,880,956,2785,1979-10-01,1984-10-01,,,1984-10-27,1985-02-11,,,,32.85,31.6,40,220.41,261759.0
DAMPIERRE-1,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,890,890,937,2785,1975-02-01,1980-03-15,,,1980-03-23,1980-09-10,,,,31.96,31.96,44,239.54,292312.0
DAMPIERRE-2,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,890,890,937,2785,1975-04-01,1980-12-05,,,1980-12-10,1981-02-16,,,,31.96,31.96,44,237.62,288377.0
DAMPIERRE-3,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,890,890,937,2785,1975-09-01,1981-01-25,,,1981-01-30,1981-05-27,,,,31.96,31.96,43,248.67,296879.0
DAMPIERRE-4,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,890,890,937,2785,1975-12-01,1981-08-05,,,1981-08-18,1981-11-20,,,,31.96,31.96,43,236.04,287778.0
EL-4 (MONTS D'ARREE),Permanent Shutdown,France,HWGCR,MONTS-D'ARREE,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,70,70,75,250,1962-07-01,1966-12-23,,,1967-07-09,1968-06-01,,,1985-07-31,28.0,28.0,19,6.22,96328.0
FESSENHEIM-1,Permanent Shutdown,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,880,880,920,2785,1971-09-01,1977-03-07,,,1977-04-06,1978-01-01,,,2020-02-22,31.6,31.6,44,226.98,275643.0
FESSENHEIM-2,Permanent Shutdown,France,PWR,CP0,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,880,880,920,2785,1972-02-01,1977-06-27,,,1977-10-07,1978-04-01,,,2020-06-30,31.6,31.6,44,220.73,269278.0
FLAMANVILLE-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1330,1330,1382,3817,1979-12-01,1985-09-29,,,1985-12-04,1986-12-01,,,,34.84,34.84,39,276.66,229604.0
FLAMANVILLE-2,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1330,1330,1382,3817,1980-05-01,1986-06-12,,,1986-07-18,1987-03-09,,,,34.84,34.84,38,292.42,239805.0
FLAMANVILLE-3,Operational,France,PWR,EPR,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1630,1620,1650,4300,2007-12-03,2024-09-03,,,2024-12-21,N/A,,,,37.91,37.67,0,,
G-2 (MARCOULE),Permanent Shutdown,France,GCR,,"Commissariat à l'Energie Atomique (80%)
Electricité de France (20%)",COMPAGNIE GENERALE DES MATIERES NUCLEAIRES,39,36,43,260,1955-03-01,1958-07-21,,,1959-04-22,1959-04-22,,,1980-02-02,15.0,13.85,22,0.85,23208.0
G-3 (MARCOULE),Permanent Shutdown,France,GCR,,COMMISSARIAT A L'ENERGIE ATOMIQUE,COMPAGNIE GENERALE DES MATIERES NUCLEAIRES,40,36,43,260,1956-03-01,1959-06-11,,,1960-04-04,1960-04-04,,,1984-06-20,15.38,13.85,25,4.9,93187.0
GOLFECH-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1982-11-17,1990-04-24,,,1990-06-07,1991-02-01,,,,34.32,34.32,34,276.44,233967.0
GOLFECH-2,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1984-10-01,1993-05-21,,,1993-06-18,1994-03-04,,,,34.32,34.32,31,257.99,219876.0
GRAVELINES-1,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1975-02-01,1980-02-21,,,1980-03-13,1980-11-25,,,,32.68,32.68,44,235.17,282329.0
GRAVELINES-2,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1975-03-01,1980-08-02,,,1980-08-26,1980-12-01,,,,32.68,32.68,44,247.65,295722.0
GRAVELINES-3,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1975-12-01,1980-11-30,,,1980-12-12,1981-06-01,,,,32.68,32.68,44,247.77,293167.0
GRAVELINES-4,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1976-04-01,1981-05-31,,,1981-06-14,1981-10-01,,,,32.68,32.68,43,255.07,296343.0
GRAVELINES-5,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1979-10-01,1984-08-05,,,1984-08-28,1985-01-15,,,,32.68,32.68,40,225.55,268285.0
GRAVELINES-6,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,910,910,951,2785,1979-10-01,1985-07-21,,,1985-08-01,1985-10-25,,,,32.68,32.68,39,230.62,267035.0
NOGENT-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1981-05-26,1987-09-12,,,1987-10-21,1988-02-24,,,,34.32,34.32,37,300.11,252184.0
NOGENT-2,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1310,1310,1363,3817,1982-01-01,1988-10-04,,,1988-12-14,1989-05-01,,,,34.32,34.32,36,297.3,246987.0
PALUEL-1,Operational,France,PWR,P4 REP 1300,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,1330,1330,1382,3817,1977-08-15,1984-05-13,,,1984-06-22,1985-12-01,,,,34.84,34.84,40,317.76,264694.0
